Query,MLSR_ID,Change_in_Requirements
"Fetch requirements mapped to Develop feature in system to identify, assign and restrict roles for privileged user accounts.",MLSR049_293,"MLSR049_181: monitor privileged role assignments and take necessary action
MLSR049_287: allow privileged user to use non-privileged account while accessing non-security functions
MLSR049_255: provide capability for privileged administrators to enable and disable security policy filters
MLSR049_293: restrict privileged accounts to defined personnel or roles
MLSR065_93: provision read/write/delete permissions to accounts which have system-wide privileges in cloud
MLSR065_94: manage all accounts with highest level of privilege on cloud
MLSR065_99: provision ‘administrator’ role for customer which has access to limited features
MLSR074_269: identify privileged access rights associated with each system or process
MLSR043_83: allow IT administrator to disable automatic logoff function and set expiration time
MLSR016_108: define ’administrator’ or ’system’ role that has privileges exclusively related to product management
MLSR049_180: administer privileged user accounts in accordance with role-based access
MLSR065_96: ensure proper segregation of duties while allocating high privilege roles
MLSR050_58: employ principle of least privilege for specific security functions and privileged accounts
MLSR307_190: restrict access to privileged user IDs to least privileges necessary to perform job responsibilities
MLSR088_80: allow authorized IT administrator to select product security capabilities
MLSR076_210: ensure data stored in cloud cannot be accessed by administrators of cloud
MLSR079_1049: perform all system administrator or application configuration functions locally at device "
"Show me requirements that comply with Develop feature in system to identify, assign and restrict roles for privileged user accounts.",MLSR049_293,"MLSR049_181: monitor privileged role assignments and take necessary action
MLSR049_287: allow privileged user to use non-privileged account while accessing non-security functions
MLSR049_255: provide capability for privileged administrators to enable and disable security policy filters
MLSR049_293: restrict privileged accounts to defined personnel or roles
MLSR065_93: provision read/write/delete permissions to accounts which have system-wide privileges in cloud
MLSR065_94: manage all accounts with highest level of privilege on cloud
MLSR065_99: provision ‘administrator’ role for customer which has access to limited features
MLSR074_269: identify privileged access rights associated with each system or process
MLSR043_83: allow IT administrator to disable automatic logoff function and set expiration time
MLSR016_108: define ’administrator’ or ’system’ role that has privileges exclusively related to product management
MLSR049_180: administer privileged user accounts in accordance with role-based access
MLSR065_96: ensure proper segregation of duties while allocating high privilege roles
MLSR050_58: employ principle of least privilege for specific security functions and privileged accounts
MLSR307_190: restrict access to privileged user IDs to least privileges necessary to perform job responsibilities
MLSR088_80: allow authorized IT administrator to select product security capabilities
MLSR076_210: ensure data stored in cloud cannot be accessed by administrators of cloud
MLSR079_1049: perform all system administrator or application configuration functions locally at device "
Do we have any requirements for Develop feature in system to control execution of privileged functions by users compliance?,MLSR049_304,"MLSR049_289: authorize network access to use privileged commands
MLSR049_296: prohibit non-organizational users to use privileged information
MLSR049_300: prevent software execution at higher privilege levels than users executing software
MLSR049_388: authorize privileged command execution
MLSR049_304: prevent non-privileged users to execute privileged functions
MLSR049_835: allow only authorized user or higher privileged user to install software
MLSR203_64: ensure critical functions are executed only by users with required rights
MLSR092_115: allow only admin user or higher role to access data export functions
MLSR050_59: use non-privileged accounts/roles when accessing non-security functions
MLSR049_1734: prevent presentation of system management-related functionality for non-privileged users"
Fetch requirements mapped to Develop feature in system to control execution of privileged functions by users.,MLSR049_304,"MLSR049_289: authorize network access to use privileged commands
MLSR049_296: prohibit non-organizational users to use privileged information
MLSR049_300: prevent software execution at higher privilege levels than users executing software
MLSR049_388: authorize privileged command execution
MLSR049_304: prevent non-privileged users to execute privileged functions
MLSR049_835: allow only authorized user or higher privileged user to install software
MLSR203_64: ensure critical functions are executed only by users with required rights
MLSR092_115: allow only admin user or higher role to access data export functions
MLSR050_59: use non-privileged accounts/roles when accessing non-security functions
MLSR049_1734: prevent presentation of system management-related functionality for non-privileged users"
Show me requirements that comply with Develop feature in system to control execution of privileged functions by users.,MLSR049_304,"MLSR049_289: authorize network access to use privileged commands
MLSR049_296: prohibit non-organizational users to use privileged information
MLSR049_300: prevent software execution at higher privilege levels than users executing software
MLSR049_388: authorize privileged command execution
MLSR049_304: prevent non-privileged users to execute privileged functions
MLSR049_835: allow only authorized user or higher privileged user to install software
MLSR203_64: ensure critical functions are executed only by users with required rights
MLSR092_115: allow only admin user or higher role to access data export functions
MLSR050_59: use non-privileged accounts/roles when accessing non-security functions
MLSR049_1734: prevent presentation of system management-related functionality for non-privileged users"
"Show me requirements that comply with Develop feature in system to authorize, restrict and maintain security and privacy attributes.",MLSR049_349,"MLSR049_349: ensure security attributes are associated with necessary values
MLSR049_358: allow only authorized users to define/change security attributes
MLSR049_360: maintain association and integrity of security and privacy attributes
MLSR049_362: allow only authorized user to associate security and privacy attributes
MLSR049_368: provide consistent interpretation of security attributes transmitted
MLSR049_370: protect security attributes with defined level of assurance
MLSR049_372: re-assign security attributes using only validated re-grading mechanisms
MLSR049_374: allow only authorized users to change type and value of security and privacy attributes
MLSR049_462: enforce access control decisions based on security attributes
MLSR049_1861: associate security attributes with exchanged information
MLSR049_215: revoke access authorizations when security attributes change
MLSR049_268: bind security attributes to information
MLSR049_356: dynamically associate security attributes with subjects and objects as information is created and combined"
"Do we have security requirements for Develop feature in system to authorize, restrict and maintain security and privacy attributes in place?",MLSR049_349,"MLSR049_349: ensure security attributes are associated with necessary values
MLSR049_358: allow only authorized users to define/change security attributes
MLSR049_360: maintain association and integrity of security and privacy attributes
MLSR049_362: allow only authorized user to associate security and privacy attributes
MLSR049_368: provide consistent interpretation of security attributes transmitted
MLSR049_370: protect security attributes with defined level of assurance
MLSR049_372: re-assign security attributes using only validated re-grading mechanisms
MLSR049_374: allow only authorized users to change type and value of security and privacy attributes
MLSR049_462: enforce access control decisions based on security attributes
MLSR049_1861: associate security attributes with exchanged information
MLSR049_215: revoke access authorizations when security attributes change
MLSR049_268: bind security attributes to information
MLSR049_356: dynamically associate security attributes with subjects and objects as information is created and combined"
"What are the requirements for Develop feature in system to authorize, restrict and maintain security and privacy attributes?",MLSR049_349,"MLSR049_349: ensure security attributes are associated with necessary values
MLSR049_358: allow only authorized users to define/change security attributes
MLSR049_360: maintain association and integrity of security and privacy attributes
MLSR049_362: allow only authorized user to associate security and privacy attributes
MLSR049_368: provide consistent interpretation of security attributes transmitted
MLSR049_370: protect security attributes with defined level of assurance
MLSR049_372: re-assign security attributes using only validated re-grading mechanisms
MLSR049_374: allow only authorized users to change type and value of security and privacy attributes
MLSR049_462: enforce access control decisions based on security attributes
MLSR049_1861: associate security attributes with exchanged information
MLSR049_215: revoke access authorizations when security attributes change
MLSR049_268: bind security attributes to information
MLSR049_356: dynamically associate security attributes with subjects and objects as information is created and combined"
What are the requirements for Develop feature in system to allow only authorized user to edit alarm settings/configuration?,MLSR020_101,"MLSR020_101: prevent operator from unauthorized access for changing auditory alarm signal
MLSR020_129: prevent operator from saving changes to alarm preset and restrict it only to responsible organization
MLSR020_130: provide option for responsible organization to restore alarm preset to its manufacturer-configured state
MLSR020_136: prevent operator from saving changes to any manufacturer-configured alarm preset
MLSR020_136: restrict alarm preset only to responsible organization
MLSR020_137: prevent individual operator from saving changes to alarm presets that were stored by any other operator
MLSR020_142: prevent any operator from storing changes to default alarm preset
MLSR020_143: allow only responsible organization to restore default alarm preset to its manufacturer-configured values
MLSR020_173: allow only responsible organization to enable and disable reminder signal 
MLSR020_173: configure maximum reminder signal interval when adjustment is provided
MLSR020_174: allow only responsible organization to permit designated operators to enable and disable reminder signal
MLSR020_177: allow only responsible organization to enable or disable any global alarm OFF or audio OFF
MLSR020_177: prevent clinical operator from changing configuration in normal use
MLSR020_186: allow only responsible organization to provide options for operator to adjust interval only up to maximum
MLSR020_195: allow only responsible organization to select between latching and non-latching alarm signals
MLSR020_389: use password-protection for each operator to store his or her own operator-configured alarm presets
MLSR020_389: restrict operator from changing alarm preset configuration of other operators"
Show me security requirements for Develop feature in system to allow only authorized user to edit alarm settings/configuration.,MLSR020_101,"MLSR020_101: prevent operator from unauthorized access for changing auditory alarm signal
MLSR020_129: prevent operator from saving changes to alarm preset and restrict it only to responsible organization
MLSR020_130: provide option for responsible organization to restore alarm preset to its manufacturer-configured state
MLSR020_136: prevent operator from saving changes to any manufacturer-configured alarm preset
MLSR020_136: restrict alarm preset only to responsible organization
MLSR020_137: prevent individual operator from saving changes to alarm presets that were stored by any other operator
MLSR020_142: prevent any operator from storing changes to default alarm preset
MLSR020_143: allow only responsible organization to restore default alarm preset to its manufacturer-configured values
MLSR020_173: allow only responsible organization to enable and disable reminder signal 
MLSR020_173: configure maximum reminder signal interval when adjustment is provided
MLSR020_174: allow only responsible organization to permit designated operators to enable and disable reminder signal
MLSR020_177: allow only responsible organization to enable or disable any global alarm OFF or audio OFF
MLSR020_177: prevent clinical operator from changing configuration in normal use
MLSR020_186: allow only responsible organization to provide options for operator to adjust interval only up to maximum
MLSR020_195: allow only responsible organization to select between latching and non-latching alarm signals
MLSR020_389: use password-protection for each operator to store his or her own operator-configured alarm presets
MLSR020_389: restrict operator from changing alarm preset configuration of other operators"
Do we have any requirements for Develop feature in system to allow only authorized user to edit alarm settings/configuration compliance?,MLSR020_101,"MLSR020_101: prevent operator from unauthorized access for changing auditory alarm signal
MLSR020_129: prevent operator from saving changes to alarm preset and restrict it only to responsible organization
MLSR020_130: provide option for responsible organization to restore alarm preset to its manufacturer-configured state
MLSR020_136: prevent operator from saving changes to any manufacturer-configured alarm preset
MLSR020_136: restrict alarm preset only to responsible organization
MLSR020_137: prevent individual operator from saving changes to alarm presets that were stored by any other operator
MLSR020_142: prevent any operator from storing changes to default alarm preset
MLSR020_143: allow only responsible organization to restore default alarm preset to its manufacturer-configured values
MLSR020_173: allow only responsible organization to enable and disable reminder signal 
MLSR020_173: configure maximum reminder signal interval when adjustment is provided
MLSR020_174: allow only responsible organization to permit designated operators to enable and disable reminder signal
MLSR020_177: allow only responsible organization to enable or disable any global alarm OFF or audio OFF
MLSR020_177: prevent clinical operator from changing configuration in normal use
MLSR020_186: allow only responsible organization to provide options for operator to adjust interval only up to maximum
MLSR020_195: allow only responsible organization to select between latching and non-latching alarm signals
MLSR020_389: use password-protection for each operator to store his or her own operator-configured alarm presets
MLSR020_389: restrict operator from changing alarm preset configuration of other operators"
